computer_name,price,processor_type,producer
Komputronik Infinity X500 [AX4],4499,Intel Core i5,Komputronik
Komputronik Infinity X510 [K1],5790,Intel Core i5,Komputronik
ASUS ROG Strix G15DK-R5800X339W,6399,AMD Ryzen,Asus
ASUS ROG Strix G15DK-R5800X2190,6799,AMD Ryzen,Asus
Komputronik Infinity X312 [B2],4499,Intel Core i3,Komputronik
Komputronik Infinity X511 [K2],5990,Intel Core i5,Komputronik
ASUS ROG Strix G15DK-R5800X340W,6999,AMD Ryzen,Asus
Komputronik Infinity X510 [N2],3999,Intel Core i5,Komputronik
Komputronik Infinity X510 [K2],6490,Intel Core i5,Komputronik
Komputronik Infinity R550 [M2],6990,AMD Ryzen,Komputronik
Komputronik Infinity X510 [N1],3699,Intel Core i5,Komputronik
Komputronik Infinity X312 [A2],4499,Intel Core i3,Komputronik
Komputronik Infinity X512 [B2],5690,Intel Core i5,Komputronik
Komputronik Infinity X512 [D4],5190,Intel Core i5,Komputronik
